"","money"
"1511","The legislation hurtling through Congress seems almost tailor-made to benefit the president, despite his claims that the bills are “not good for me.”"
"1512","Just when South Korea thought it was finally creating a buzz for February's Winter Olympics, North Korea fired its most powerful missile yet and re-ignited safety worries about the small mountain town that will host the games not far from the riva..."
"1513","A prisoner swap and the repayment of a $500 million debt could free Americans and a Briton jailed on charges of spying and sedition."
"1514","Mr. Shapiro’s film, with a cast that included Chevy Chase, anticipated “Saturday Night Live” by a year. But he stopped making movies before he turned 40."
"1515","A measure to open the Arctic National Wildlife Refuge to oil exploration is in the tax bill before Congress. Drilling advocates have cause for optimism."
"1516","Tommy Wiseau has made his peace with the cult status of his drama, er, comedy “The Room,” the subject of James Franco’s new film, “The Disaster Artist.”"
"1517","In less than two weeks, much of the government will run out of money, but a negotiating session at the White House on Tuesday blew up after President Trump attacked Democrats."
"1518","The breakout pop-soul and R&B singer was bursting with praise for his fellow nominees."
"1519","Tuesday: Transgender surgery at Cedars-Sinai, an assemblyman accused of sexual harassment resigns and the rebel state of Jefferson."
"1520","Employees at several e-commerce companies recently acquired by Walmart are finding that their coverage will come at a far higher price."
"1521","Every month, Netflix Canada adds a new batch of movies and TV shows to its library. These are the ones we’re looking forward to."
"1522","The top editor for the National Enquirer, Us Weekly and other major gossip publications openly described his sexual partners in the newsroom, discussed female employees' sex lives and forced women to watch or listen to pornographic material, forme..."
"1523","The Latest on President Donald Trump's plan to scale back national monuments (all times local):"
"1524","With a new C.E.O., a retreat popular with the elite since the 1980s fights to stay relevant in a world where athleisure and juice bars are now quotidian."
"1525","A recent change in Iowa's tax code spared Mark Chelgren's machine shop, welding company and wheelchair-parts plant from paying sales tax when buying certain supplies such as saws and cutting fluid."
"1526","“I think the floodgates have opened for white women,” the actress and rape survivor said of the #MeToo movement, which coincided with her new memoir."
"1527","A law Congress passed to keep itself from spending too much could have consequences for many federal programs."
"1528","The Latest on Southern California wildfires (all times local):"
"1529","The top editor for the National Enquirer, Us Weekly and other major gossip publications openly described his sexual partners in the newsroom, discussed female employees' sex lives and forced women to watch or listen to pornographic material, forme..."
"1530","The Latest on Russian doping (all times local):"
"1531","A former president who left a legacy of corruption, he re-emerged to play a major role in his country’s civil war."
"1532","The Latest on Southern California wildfires (all times local):"
"1533","Some poorer districts do more for their grade-schoolers than some wealthier ones do."
"1534","Five House Republicans in New York and New Jersey who voted for the tax plan are trying to blame state leaders for fostering high-tax environments."
"1535","The guilty plea by President Trump’s former national security adviser brings the special counsel investigation of Russian interference in the 2016 election into Mr. Trump’s inner circle."
